id,f_01_past_tense,f_02_perfect_aspect,f_03_present_tense,f_04_place_adverbials,f_05_time_adverbials,f_06_first_person_pronouns,f_07_second_person_pronouns,f_08_third_person_pronouns,f_09_pronoun_it,f_10_demonstrative_pronoun,f_11_indefinite_pronoun,f_12_proverb_do,f_13_wh_question,f_14_nominalization,f_15_gerunds,f_16_other_nouns,f_17_agentless_passives,f_18_by_passives,f_19_be_main_verb,f_20_existential_there,f_21_that_verb_comp,f_22_that_adj_comp,f_23_wh_clause,f_24_infinitives,f_25_present_participle,f_26_past_participle,f_27_past_participle_whiz,f_28_present_participle_whiz,f_29_that_subj,f_30_that_obj,f_31_wh_subj,f_32_wh_obj,f_33_pied_piping,f_34_sentence_relatives,f_35_because,f_36_though,f_37_if,f_38_other_adv_sub,f_39_prepositions,f_40_adj_attr,f_41_adj_pred,f_42_adverbs,f_43_type_token,f_44_mean_word_length,f_45_conjuncts,f_46_downtoners,f_47_hedges,f_48_amplifiers,f_49_emphatics,f_50_discourse_particles,f_51_demonstratives,f_52_modal_possibility,f_53_modal_necessity,f_54_modal_predictive,f_55_verb_public,f_56_verb_private,f_57_verb_suasive,f_58_verb_seem,f_59_contractions,f_61_stranded_preposition,f_62_split_infinitve,f_63_split_auxiliary,f_64_phrasal_coordination,f_66_neg_synthetic,f_67_neg_analytic,
1,A00,17.29183293,9.177972865,48.81617451,4.123437084,6.517690875,16.89279064,4.256451184,8.778930567,4.788507582,2.793296089,1.197126895,2.926310189,0.266028199,24.74062251,13.16839585,243.282788,1.862197393,0.665070497,10.90715616,1.862197393,1.064112796,0.532056398,0.532056398,18.35594573,1.596169194,1.197126895,2.66028199,3.458366587,0.133014099,0.532056398,1.197126895,0.399042298,0.665070497,0.665070497,0.133014099,0.399042298,1.463155094,1.596169194,113.1949987,60.78744347,3.724394786,48.94918861,0.191806331,4.798002385,0.532056398,1.330140995,0.266028199,2.52726789,3.325352487,0,4.123437084,4.788507582,0.931098696,4.123437084,5.985634477,6.650704975,4.123437084,0.133014099,2.261239691,0.665070497,0,0.665070497,11.97126895,1.064112796,4.256451184
2,A01,4.658561527,5.794796046,64.42449722,2.045222134,2.726962845,16.24815362,32.60993069,6.362913305,6.476536757,4.544938075,1.477104874,4.658561527,1.136234519,26.24701738,10.11248722,205.0903306,0.908987615,0,13.97568458,1.931598682,2.726962845,0.681740711,0.454493808,20.56584479,1.022611067,0.568117259,2.158845586,2.158845586,0.795364163,1.022611067,1.477104874,0.454493808,1.249857971,0,0.795364163,0.681740711,8.294511987,0.908987615,102.1474832,51.01692989,6.02204295,44.65401659,0.157709351,4.428842745,2.272469038,2.045222134,0.113623452,1.249857971,4.999431883,0.340870356,5.794796046,13.18032042,3.181456653,7.612771276,3.295080105,8.749005795,3.295080105,0.227246904,6.817407113,0.681740711,0,1.81797523,9.430746506,1.590728326,7.953641632
3,A02,9.991898461,10.53200108,55.3605185,2.970564407,3.240615717,20.79395085,1.080205239,5.941128814,5.401026195,3.510667027,0.540102619,1.620307858,0,31.05590062,13.7726168,232.5141777,1.890359168,1.080205239,14.04266811,1.350256549,1.620307858,0.27005131,1.080205239,21.87415609,2.160410478,0.540102619,2.970564407,3.510667027,0.540102619,0.540102619,2.430461788,0.810153929,0.810153929,0.27005131,0.27005131,0.540102619,1.350256549,0.540102619,116.3921145,70.75344315,5.130974885,50.22954361,0.241695922,4.785545024,3.240615717,1.890359168,0.540102619,1.080205239,3.780718336,0,4.320820956,4.320820956,0.27005131,2.970564407,3.510667027,8.911693222,3.240615717,0,1.080205239,0,0.540102619,0.810153929,17.01323251,0.810153929,2.160410478
4,A03,31.01239574,10.87507488,36.40385236,3.686466061,4.377678448,5.806184047,2.350122114,17.23422884,3.409981107,2.027556334,1.566748076,1.52066725,0.138242477,28.89267776,10.7368324,234.5514032,1.658909728,0.230404129,8.893599373,1.797152205,2.857011198,0.368646606,0.506889083,12.76438874,1.336343947,1.290263122,4.193355145,2.672687895,0.737293212,1.52066725,2.488364591,0.368646606,0.691212387,1.152020644,0.737293212,0.599050735,1.152020644,0.87553569,128.2890189,66.72503571,3.409981107,36.68033731,0.159716142,4.959656255,1.658909728,1.059858993,0.368646606,1.152020644,2.488364591,0.046080826,4.285516796,2.764849546,0.645131561,3.041334501,8.294548638,12.30358048,3.456061933,0.599050735,1.013778167,0.737293212,0,0.599050735,8.847518548,1.336343947,3.087415326
5,A04,21.27174483,5.927817423,44.1850391,1.208362782,2.302729076,4.468662365,0.364788765,17.71505438,6.497799868,2.530722054,1.960739609,1.755545929,0.045598596,29.36549554,9.370511388,209.9131347,1.595950845,0.296390871,17.57825859,2.963908712,2.507922756,0.319190169,0.41038736,12.47121589,1.23116208,0.889172613,2.234331183,1.618750142,0.478785253,1.094366294,3.123503796,0.797975422,2.827112925,2.325528374,0.364788765,1.185563485,1.23116208,1.892341716,124.9173525,69.40106245,6.26980689,41.76831354,0.110530996,4.80831397,1.937940311,2.599119947,0.683978933,1.276760676,4.879049725,0.136795787,6.566197761,9.575705068,1.139964889,3.032306605,8.162148606,12.17482502,2.507922756,0.957570507,0.364788765,0.273591573,0,0.729577529,10.48767698,1.550352249,4.445863067
6,A05,19.8932557,9.556357193,61.62057254,1.982996857,3.881610869,7.488977491,2.04628399,29.8293357,10.18922853,3.101069553,3.438600932,3.354218087,0.105478556,17.78368458,7.1303504,178.6595785,0.907115583,0.126574267,17.91025884,2.742442461,4.978587853,0.400818514,0.316435669,17.02423897,1.096976985,1.01259414,1.919709723,0.759445605,1.413412653,1.329029808,5.252832099,1.244646963,3.797228024,3.05887813,0.274244246,0.548488492,1.371221231,0.84382845,112.2080881,55.94582621,6.687340464,41.36868975,0.116553805,4.506080313,1.202455541,1.518891209,0.464105647,1.202455541,3.5651752,0.232052824,7.341307512,8.269518807,0.864924161,2.362719659,7.742126026,14.40837078,2.784633884,1.961901145,2.826825306,1.01259414,0,0.886019872,8.564858764,1.497795498,5.78022488
7,A06,16.54502416,6.090344215,67.28967354,1.726008482,4.216392149,20.26827103,21.10661801,15.95324983,10.15879278,4.388992997,4.388992997,7.027320249,0.24657264,18.54226255,14.00532597,177.8528454,1.504093106,0.147943584,16.10119341,3.106815268,2.786270835,0.542459809,0.936976033,16.93954039,1.578064898,0.493145281,0.912318769,2.317782819,1.208205937,0.493145281,2.268468291,0.36985896,1.479435842,1.627379426,0.936976033,1.183548673,2.539698195,1.060262353,94.31403491,55.28158596,6.386231384,58.73360292,0.107505671,4.434130579,1.084919617,1.627379426,0.345201696,2.958871684,7.619094585,1.010947825,5.449255351,7.002662985,2.243811027,6.164316007,5.054739126,17.90117369,3.378045172,0.838346977,10.60262353,0.715060657,0.049314528,1.158891409,7.717723641,1.65203669,7.964296282
8,A07,28.29429747,6.665594042,30.20203645,1.999678213,2.919070494,1.218194773,0.114924035,11.30852506,6.987381341,2.965040108,2.620268003,1.333118808,0,38.2007493,8.826165904,194.2216195,1.40207323,0.505665755,11.03270738,2.896085687,3.401751442,0.712529018,0.114924035,13.99774749,1.01133151,0.735513825,2.344450318,2.091617441,0.091939228,1.287149194,2.436389547,0.528650562,1.746845335,1.539982072,0.850437861,1.080285931,1.264164387,0.712529018,130.4617648,98.71974625,3.65458432,41.00489576,0.097662445,5.11097505,2.482359161,2.574298389,0.275817685,1.287149194,2.965040108,0.114924035,6.458730779,3.401751442,1.218194773,2.988024916,9.377801273,11.30852506,4.298158917,1.287149194,0.068954421,0.183878456,0,0.643574597,9.7915278,1.080285931,3.999356425
9,A08,49.54364912,8.387560213,49.50139441,2.345136483,6.612862334,30.06422716,7.584720696,32.83191076,16.60610158,4.542381476,7.584720696,6.317079354,0.422547114,14.34547452,12.14822953,143.856165,0.232400913,0.021127356,10.394659,3.316994845,3.295867489,0.126764134,0.549311248,17.07090341,2.683174174,0.570438604,1.204259275,2.091608214,0.422547114,0.929603651,0.401419758,0.29578298,1.119749852,0.929603651,1.119749852,1.901462013,2.471900617,0.971858362,85.73480943,41.28285304,3.591650469,66.78357137,0.085185498,4.209650127,0.866221584,3.950815516,0.380292403,0.802839517,5.704386039,0.528183893,6.274824643,4.943801234,1.542296966,5.577621905,28.01487366,17.7892335,3.802924026,0.612693315,4.394489986,0.676075382,0,1.098622496,6.464970844,3.697287248,11.51440886
10,A0A,9.902546369,3.143665514,64.60232631,1.729016033,4.243948444,0.471549827,3.30084879,4.40113172,7.544797234,1.10028293,0.471549827,0.785916378,0,17.76171015,10.3740962,239.5473122,3.143665514,0,11.47437913,1.257466206,0.943099654,0.314366551,0,14.61804464,1.257466206,2.043382584,3.615215341,2.514932411,2.20056586,0.785916378,0.943099654,0,0.785916378,1.257466206,0.314366551,0.785916378,1.257466206,0.943099654,110.4998428,90.38038353,6.130147752,37.88116944,0.207639107,4.561980609,0.943099654,0.314366551,0.157183276,1.10028293,4.086765168,0.943099654,1.414649481,1.571832757,1.414649481,3.772398617,2.829298963,5.815781201,3.143665514,0.314366551,0.471549827,0,0,0.157183276,12.73184533,0.471549827,2.672115687
